sim_name;parameter_name;value;start_date;delta
sa;a_1d;0.5;;0
sa;a_1u;0.5;;0
sa;a_2d;0.5;;0
sa;a_2u;0.5;;0
sa;a_md;1;;0
sa;a_sd;1;;0
sa;a_su;1;;0
sa;alpha;0.64;;0.15
sa;alpha_d1;0.75;;0.25
sa;alpha_d2;0.9;;0.25
sa;b_b;0.52;;0.1
sa;c_12u;0.0825;;0.25
sa;c_12uv;0.2;;0.25
sa;c_1mu;0.385;;0.25
sa;c_1su;0.0825;;0.25
sa;c_ceil;10000000000;;0
sa;c_e1u;0.29;;0.1
sa;d_1;1e-4;;0.25
sa;d_2;4.6e-4;;0.25
sa;d_m;0.005;;0.25
sa;d_m;0.0031;5-5-2020;0.25
sa;d_m;8e-4;15-7-2020;0.25
sa;d_m;0.002;1-8-2020;0.25
sa;d_m;0.0032;15-9-2020;0.25
sa;d_m;0.002;1-12-2020;0.25
sa;d_m;9.5e-4;15-1-2021;0.25
sa;d_m;0.002;1-6-2021;0.25
sa;d_s;0;;0.25
sa;ddf;0.2;;0.25
sa;ddf;0.12;1-8-2020;0.25
sa;ddf;0.25;7-6-2021;0.25
sa;delta_c;0.023;;0.25
sa;delta_c;0.006325;1-4-2021;0.25
sa;delta_h;0.0025;;0.25
sa;delta_h;0.0035;10-12-2020;0.25
sa;delta_h;9.625e-4;1-4-2021;0.25
sa;delta_h_adjust;1;;0
sa;delta_h_adjust;0.9;15-6-2020;0
sa;delta_su;0.0026;;0.25
sa;delta_su;0.0035;10-12-2020;0.25
sa;delta_su;9.625e-4;1-4-2021;0.25
sa;eta_u;0.2;;0.25
sa;eta_u;0.14;10-1-2021;0.25
sa;FOIadjust;0.75;;0
sa;FOIadjust;0.37;20-4-2020;0.05
sa;FOIadjust;0.36;15-5-2020;0.05
sa;FOIadjust;0.28;15-6-2020;0.05
sa;FOIadjust;0.12;20-7-2020;0.05
sa;FOIadjust;0.2;5-9-2020;0.05
sa;FOIadjust;0.2;1-10-2020;0.05
sa;FOIadjust;0.46;9-11-2020;0.05
sa;FOIadjust;0.39;15-12-2020;0.05
sa;FOIadjust;0.1;7-1-2021;0.15
sa;FOIadjust;0.2;13-2-2021;0.15
sa;FOIadjust;0.45;1-4-2021;0.15
sa;FOIadjust;0.5;25-4-2021;0.15
sa;FOIadjust;0.895;13-6-2021;0.15
sa;FOIadjust;0.4;28-6-2021;0.15
sa;FOIadjust;0.75;15-7-2021;0.15
sa;FOIadjust;1.15;26-7-2021;0.15
sa;FOIadjust;0.75;15-8-2021;0.15
sa;FOIadjust;1.15;26-1-2022;0.15
sa;FOIadjust;0.75;15-2-2022;0.15
sa;h_ceil;10000000000;;0
sa;hdf;0.32;;0.25
sa;hdf;0.175;1-8-2020;0.25
sa;hdf;0.35;1-6-2021;0.25
sa;iota_1;1;;0
sa;iota_2;1;;0
sa;psi_1;0;;0
sa;psi_1;0.0075;17-2-2021;0.05
sa;psi_1;0.017;26-2-2021;0.05
sa;psi_1;0.0075;8-3-2021;0.05
sa;psi_1;0.018;16-3-2021;0.05
sa;psi_1;9e-4;1-4-2021;0.05
sa;psi_1;0.0035;12-4-2021;0.05
sa;psi_1;0.032;2-5-2021;0.05
sa;psi_1;0.028;7-5-2021;0.05
sa;psi_1;0;17-5-2021;0
sa;psi_2;0;;0
sa;psi_2;0.025;29-6-2021;0.05
sa;psi_3;0;;0
sa;psi_3;0.0075;1-8-2021;0
sa;psi_d1_1;0;;0
sa;psi_d1_1;0.055;17-5-2021;0.05
sa;psi_d1_1;0.075;17-6-2021;0.05
sa;psi_d1_2;0;;0
sa;psi_d1_2;0.0045;17-5-2021;0.05
sa;psi_d1_2;0.006;17-6-2021;0.05
sa;psi_d1_3;0;;0
sa;psi_d1_3;0.012;17-7-2021;0.05
sa;psi_d2_1;0;;0
sa;psi_d2_1;0.05;1-7-2021;0
sa;psi_d2_1;0.02;10-7-2021;0
sa;psi_d2_2;0;;0
sa;psi_d2_3;0;;0
sa;q;0.033;;0.15
sa;r_2u;0.0965;;0.25
sa;r_h;0.28;;0.25
sa;r_h;0.33;1-9-2020;0.25
sa;r_h;0.0694;1-4-2021;0.25
sa;r_mu;0.0955;;0.1
sa;r_p;0.25;;0.25
sa;rho;0.19;;0.25
sa;rho;0.25;1-9-2020;0.25
sa;rho;0.055;1-4-2021;0.25
sa;theta;0.022;;0.25
sa;upsilon;0.005479452;;0
sa;upsilon_v;0.00410959;;0
